indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2017,77.17135,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2016,81.64483,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2015,91.09807,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2014,111.34646,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2013,98.98592,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2012,89.39615,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2011,71.72394,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2010,78.65386,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,2007,137.07093,,,1
"Government expenditure per student, tertiary (% of GDP per capita)",Togo,TGO,1998,280.73061,,,1
